,MANDT_x,EBELN,EBELP,MATNR,BUKRS_x,WERKS,MENGE,NETPR,NETWR,LABNR,MANDT_y,LIFNR,BUKRS_y,BSTYP,BSART,LOEKZ,STATU,AEDAT,Total_NOV
41,100,4501116196,250,70000100405,1000,1000,1.0,8554.16,8554.16,,100,212505,1000,F,NB,,9,20220128,8554.16
42,100,4501116196,370,70000112222,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220128,0.01
43,100,4501116196,240,16973002098,1000,1000,4.0,16.79,67.16,,100,212505,1000,F,NB,,9,20220128,268.64
44,100,4501116196,150,16973001708,1000,1000,4.0,1051.56,4206.24,,100,212505,1000,F,NB,,9,20220128,16824.96
45,100,4501116196,350,70000063512,1000,1000,1.0,1017.52,1017.52,,100,212505,1000,F,NB,,9,20220128,1017.52
46,100,4501116196,270,70000112220,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220128,0.01
47,100,4501116196,290,70000131759,1000,1000,1.0,2585.2,2585.2,,100,212505,1000,F,NB,,9,20220128,2585.2
48,100,4501116196,220,70000125693,1000,1000,4.0,30.36,121.44,,100,212505,1000,F,NB,,9,20220128,485.76
49,100,4501116196,130,16973000475,1000,1000,4.0,26.91,107.64,,100,212505,1000,F,NB,,9,20220128,430.56
50,100,4501116196,190,70000107872,1000,1000,8.0,76.13,609.04,,100,212505,1000,F,NB,,9,20220128,4872.32
51,100,4501116196,410,16973001706,1000,1000,1.0,3189.64,3189.64,,100,212505,1000,F,NB,,9,20220128,3189.64
52,100,4501116196,320,16973001716,1000,1000,1.0,213.44,213.44,,100,212505,1000,F,NB,,9,20220128,213.44
53,100,4501116196,160,16973001718,1000,1000,4.0,109.25,437.0,,100,212505,1000,F,NB,,9,20220128,1748.0
54,100,4501116196,360,70000107870,1000,1000,1.0,8658.12,8658.12,,100,212505,1000,F,NB,,9,20220128,8658.12
55,100,4501116196,170,16973002032,1000,1000,8.0,282.44,2259.52,,100,212505,1000,F,NB,,9,20220128,18076.16
